,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01010.1,4.5856039446173265,0.15061191345537644,0.11892816824115847,1.2664107728454268,0.2053660560273196,0.27214586699557747
AT1G01020.1,12.420627031806118,-0.5264192106157066,0.08884175598655414,-5.925358011781962,3.116177370069764e-09,1.956770604441974e-08
AT1G01040.2,7.650262334536259,0.2371998775473929,0.08132800752358425,2.916582918604117,0.0035388864448683117,0.007411292827183338
AT1G01050.1,84.25556692826358,0.3645868171019632,0.06312037344270972,5.776056084853095,7.647189252932348e-09,4.5242758798328625e-08
AT1G01060.1,79.79304581946924,0.9989140189000797,0.2758795702022786,3.620833605647792,0.0002936553368408629,0.0007677629989923324
AT1G01070.1,5.229504010213191,-0.042393083991432025,0.170410505666397,-0.24877036674266179,0.8035384145217399,0.8477698868807346
AT1G01080.2,61.48112898209063,-0.04200976152617666,0.070882492018249,-0.5926676719458602,0.5534035806574416,0.6293397873002737
AT1G01090.1,137.18771321437075,0.0693524566953585,0.058745569996965334,1.1805563670408015,0.23777900577259403,0.3085584577833143
AT1G01100.1,553.4473987300396,-0.6802061209511158,0.1313266214142501,-5.179499126879292,2.2248245410758274e-07,1.0413580108333233e-06
AT1G01120.1,40.24998838257193,-0.5569392635642106,0.13637486287161593,-4.083885049171536,4.428894566053568e-05,0.00013538462143611557
AT1G01130.1,3.9766126834298166,-0.043571084965190965,0.14424103926430806,-0.30207134659749,0.7625976748426141,0.8134643925433968
AT1G01140.3,49.91074451583011,0.628626044373269,0.13021896558482368,4.827453831706155,1.3828973448569733e-06,5.600911996972138e-06
AT1G01160.2,22.4778070544063,-1.0419257191591695,0.09050132437519491,-11.512822893503932,1.1369476499495438e-30,1.210311501686153e-28
AT1G01170.1,143.74089735387437,-0.3357786433028301,0.08976088010900701,-3.740812733732727,0.00018342615478320265,0.000500758805858492
AT1G01180.1,9.411084018690849,-1.0583019107378067,0.16201928722959374,-6.531950169846827,6.491875694727775e-11,5.284446412621009e-10
AT1G01210.1,28.59149946562969,0.009518811621464786,0.11198227094826416,0.08500284501162224,0.9322591289057143,0.9504728388389507
AT1G01220.1,8.049626558022371,0.2850759972363644,0.07362356610972817,3.8720753734135704,0.00010791256812554119,0.00030839153107525873
AT1G01230.1,35.43223805140545,-0.0025204377808290945,0.0681281131505618,-0.036995561219477426,0.9704885449530697,0.9791896910493507
AT1G01240.1,15.694288226687663,-0.42558323639038753,0.1523873015712135,-2.792773623539126,0.005225824938787472,0.01055279055506237
AT1G01250.1,6.658246082409459,1.017082987947436,0.15958057330955608,6.373476212386376,1.847909502365156e-10,1.4071442344013066e-09
AT1G01260.1,6.971871249984978,-0.15207670513294883,0.07233360647019826,-2.102434989130606,0.03551518889919166,0.05916068948052069
AT1G01290.1,10.517383644208019,-0.32527694371497323,0.060378156387733535,-5.387328185811528,7.151278303981597e-08,3.675967036842743e-07
AT1G01300.1,52.83715236770408,0.1487615109629088,0.1034615407589169,1.4378435684574675,0.1504784442940492,0.20836595973393784
AT1G01320.1,80.2045022119787,0.4487549978866135,0.08980967889735084,4.996733129393815,5.830967352119271e-07,2.521045297273302e-06
AT1G01340.2,2.927937450571133,-0.023040276272424793,0.19939930208966508,-0.1155484298639327,0.9080104360295992,0.9319984519530812
AT1G01350.1,16.277282950616787,-0.16626989120959607,0.06811804289144843,-2.440908225659984,0.014650377331667568,0.026811092445164657
AT1G01360.1,15.342372163623777,0.052144296809344695,0.1010462001612004,0.5160441137435963,0.6058235991778751,0.6782314222303292
AT1G01370.1,7.321218616366396,-1.447913909522929,0.1724906845434243,-8.394157130024135,4.692482529786298e-17,9.727639770629359e-16
AT1G01380.1,2.8766747458645114,-0.854289559394112,0.21925344313014372,-3.8963564138284736,9.765065579536245e-05,0.00028136175604534297
AT1G01390.1,3.900634617761626,1.4914408172707145,0.18455415065008357,8.081318203991524,6.407038708655492e-16,1.1444772659282003e-14
AT1G01420.1,12.114730916619187,1.7446831557851767,0.14209649038288585,12.278157969166191,1.1866943057073835e-34,2.032213998523894e-32
AT1G01430.1,32.524161322132514,-0.897645680441471,0.09353888195220836,-9.596497859575694,8.270693538983228e-22,3.249495678470842e-20
AT1G01440.1,8.012825380214165,-0.12382970979973584,0.06765702429310361,-1.8302565194602862,0.06721158983892277,0.10351110439024713
