,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01010.1,4.160784969250859,0.046456770128327766,0.11581162601658074,0.4011408157042589,0.6883164519290679,0.7517252400214319
AT1G01020.1,12.940841174897457,-0.2407242448798872,0.10177621012524281,-2.365230976705254,0.018018829120733285,0.03198552098932377
AT1G01040.2,6.448284641214714,-0.09121048483889337,0.10642528194444274,-0.8570377561837987,0.39142401870150234,0.471510921696838
AT1G01050.1,70.78248405592427,0.007898221548895263,0.057858199274209744,0.13650997867152584,0.8914181365568014,0.9203186842603507
AT1G01060.1,38.06635966100286,-1.001474845954321,0.35466929362144695,-2.8236863578701463,0.004747481745176219,0.009580951639260878
AT1G01070.1,4.371940500852552,-0.4467783299817237,0.15922943783156202,-2.805877707452187,0.005017973273485733,0.010077168249929234
AT1G01080.2,51.745729709409446,-0.45538430618695985,0.09409868799066931,-4.839433109121725,1.3021000653941982e-06,5.016960002609167e-06
AT1G01090.1,132.56581353510512,0.09374947160617818,0.07918392808913066,1.1839457055054445,0.2364345559970833,0.3072973807868773
AT1G01100.1,524.8086264944208,-0.7784856165784197,0.13379301681311848,-5.818581829766236,5.934900347584746e-09,3.186094159065571e-08
AT1G01120.1,37.93795279379738,-0.5798057502058246,0.14728869195062988,-3.9365258970469466,8.26697027103842e-05,0.00023438585090763075
AT1G01130.1,2.880506516709055,-1.0434284948130137,0.17891489401043653,-5.831982298534341,5.477273086069134e-09,2.9510610485765243e-08
AT1G01140.3,44.420680776699115,0.4652186610920312,0.13309574414513872,3.495368421282636,0.00047340780279532524,0.001164605948030134
AT1G01160.2,32.23720104484596,0.2770766476848746,0.1030015004773325,2.690025353036976,0.007144659084485728,0.013865209851278641
AT1G01170.1,147.8996214665877,-0.09989757869457357,0.0892235287649652,-1.1196326807217658,0.2628703230945594,0.33692409593597217
AT1G01180.1,11.085771072242263,-0.23433394292963783,0.15553273768078452,-1.5066534957456028,0.13189949749810137,0.18612749802028106
AT1G01210.1,23.778958607019504,-0.4452399790194802,0.12336227488198126,-3.6092069430904568,0.000307134527513494,0.0007816277852926535
AT1G01220.1,6.046994957358663,-0.33269662264862554,0.08700185215546109,-3.8240177008431906,0.00013129448273723794,0.00035883069126534627
AT1G01230.1,29.130913853238585,-0.46920818978936685,0.08915913424622067,-5.262592484283302,1.4203817380020291e-07,6.32185665400414e-07
AT1G01240.1,20.87496823993597,0.5175863497855061,0.12826897278962343,4.035164066016261,5.456415659684558e-05,0.00015930593955431973
AT1G01250.1,3.9671900123556827,-0.21925249820390946,0.22770807431307122,-0.9628665951584292,0.3356144753260283,0.4137089486754134
AT1G01260.1,6.007360310185633,-0.41483883431880225,0.09460872513829503,-4.384784106459614,1.1610086625279941e-05,3.806277198467978e-05
AT1G01290.1,9.889756270472025,-0.3494318021851249,0.06918998422257448,-5.05032348411949,4.4106251354328944e-07,1.8230611791107018e-06
AT1G01300.1,35.67238176432023,-1.0405162409272437,0.12269254879259954,-8.480679969295778,2.2388164176041033e-17,3.707742578760122e-16
AT1G01320.1,59.94152839681163,-0.24894591090478646,0.1047558998239478,-2.376438093922763,0.017480694392066707,0.03110781110904613
AT1G01340.2,2.7526941518982544,-0.05895454703577233,0.21241669925467677,-0.2775419599430309,0.781363991367329,0.8311983382870353
AT1G01350.1,17.895971293409218,0.23830242788344205,0.1022537203072336,2.330501297824996,0.01977967150745382,0.03476459272675031
